,,,,,,,
School Name,Collaborative Teachers,Effective School Leadership,Rigorous Instruction,Supportive Environment,Strong Family-Community Ties,Trust,Student Achievement
Digital Arts and Cinema Technology High School - [HS] 15K429,3.36,3.85,3.92,3.62,3.51,2.91,4.21
John Jay School for Law - [HS] 15K462,3.23,1.77,4.44,3.11,2.67,1.77,3.15
Cyberarts Studio Academy - [HS] 15K463,3.39,3.24,2.3,2.96,2.43,3.7,2.98
Park Slope Collegiate - [HS] 15K464,3.76,3.43,4.26,3.74,3.51,3.56,3.16
The Boerum Hill School for International Studies - [HS] 15K497,3.71,3.14,3.8,3.42,2.27,2.24,3.29
Cobble Hill School of American Studies - [HS] 15K519,3.44,3.48,3.56,3.46,3.84,3.37,3.4
Khalil Gibran International Academy - [HS] 15K592,4.3,4.07,3.66,3.96,3.77,4.11,2.96
Brooklyn High School of the Arts - [HS] 15K656,4.13,3.89,3.54,3.41,3.66,3.4,3.68
Sunset Park High School - [HS] 15K667,2.79,3.34,3.08,3.28,2.56,2.47,3.35
Millennium Brooklyn HS - [HS] 15K684,4.54,3.96,4.11,4.07,3.83,4.15,4.74
Boys and Girls High School - [HS] 16K455,3.46,3.52,2.87,3.47,3.53,3.37,2.97
The Brooklyn Academy of Global Finance - [HS] 16K688,3.34,3.06,2.71,3.01,3.63,4.07,3.14
Nelson Mandela High School - [HS] 16K765,1.93,2.03,2.28,2.74,3.08,2.14,3.06
Academy for College Preparation and Career Exploration: A College Board School - [HS] 17K382,4.08,3.8,3.06,3.6,3.47,3.84,3.11
Academy of Hospitality and Tourism - [HS] 17K408,3.73,3.63,3.28,3.49,3.11,3.37,3.61
International High School at Prospect Heights - [HS] 17K524,4.5,4.22,4.4,4.04,3.91,3.97,3.88
The High School for Global Citizenship - [HS] 17K528,3.75,4.15,3.93,4.46,4.74,4.44,3.51
"School for Human Rights, The - [HS] 17K531",3.02,3.03,3.36,3.07,3.39,2.21,3.19
High School for Youth and Community Development at Erasmus - [HS] 17K537,4.41,3.75,3.99,4.29,3.38,3.5,3.28
High School for Service & Learning at Erasmus - [HS] 17K539,4.01,3.66,3.58,3.41,3.97,3.74,3.45
"Science, Technology and Research Early College High School at Erasmus - [HS] 17K543",4.37,4.45,4.72,4.12,3.23,3.58,4.02
High School for Public Service: Heroes of Tomorrow - [HS] 17K546,2.95,3.55,3.31,3.47,3.64,3.46,3.36
Brooklyn Academy of Science and the Environment - [HS] 17K547,3.79,3.68,3.04,3.16,3.46,3.55,3.36
